32;39;19;25;2;30;"Sonntag"
41;22;1;2;48;36;"Sonntag"
2;39;6;9;28;49;"Sonntag"
15;16;28;43;23;2;"Sonntag"
2;36;45;7;35;18;"Sonntag"
2;40;31;14;48;18;"Sonntag"
31;41;4;2;27;22;"Sonntag"
42;1;2;23;44;3;"Sonntag"
27;47;7;40;2;4;"Sonntag"
35;36;24;2;27;42;"Sonntag"
22;4;18;9;23;2;"Sonntag"
19;2;26;3;17;12;"Sonntag"
18;6;2;8;17;35;"Sonntag"
2;7;32;36;25;38;"Sonntag"
4;38;8;2;30;44;"Sonntag"
41;46;2;13;34;27;"Sonntag"
2;43;4;6;41;40;"Sonntag"
33;18;46;21;37;2;"Sonntag"
23;19;35;18;2;39;"Sonntag"
2;42;39;48;33;28;"Sonntag"
2;36;49;44;18;9;"Sonntag"
9;46;2;26;40;13;"Sonntag"
2;13;19;42;41;31;"Sonntag"
19;11;45;40;2;38;"Sonntag"
2;20;1;37;21;29;"Sonntag"
34;44;25;48;6;2;"Sonntag"
26;32;28;39;29;2;"Sonntag"
1;25;9;28;2;8;"Sonntag"
48;41;34;32;2;40;"Sonntag"
15;1;41;36;2;11;"Sonntag"
47;39;5;25;29;2;"Sonntag"
2;48;42;1;32;19;"Sonntag"
12;49;35;2;41;47;"Sonntag"
20;32;15;35;10;2;"Sonntag"
40;20;39;2;37;1;"Sonntag"
9;2;1;27;24;26;"Sonntag"
2;45;48;17;25;19;"Sonntag"
27;2;3;35;25;11;"Sonntag"
23;13;34;25;2;27;"Sonntag"
40;2;11;38;12;6;"Sonntag"
32;2;30;38;25;49;"Sonntag"
1;11;41;27;2;46;"Sonntag"
23;38;6;1;44;2;"Sonntag"
2;20;31;37;27;49;"Sonntag"
19;2;20;37;8;23;"Sonntag"
2;3;29;46;11;37;"Sonntag"
2;29;16;37;12;21;"Sonntag"
26;11;46;2;3;21;"Sonntag"
21;16;47;32;26;2;"Sonntag"
2;13;10;39;24;9;"Sonntag"
2;46;42;34;23;38;"Sonntag"
41;18;32;21;2;26;"Sonntag"
33;2;45;8;23;4;"Sonntag"
26;4;16;23;2;30;"Sonntag"
2;1;48;3;5;47;"Montag"
45;23;2;39;31;27;"Sonntag"
38;44;39;2;16;17;"Sonntag"
11;34;33;38;17;2;"Samstag"
32;44;2;15;24;39;"Samstag"
2;5;23;47;40;18;"Samstag"
39;8;2;19;1;26;"Samstag"
21;29;2;39;37;6;"Samstag"
6;19;3;22;12;2;"Samstag"
2;43;20;33;40;41;"Sonntag"
47;6;5;2;22;7;"Samstag"
2;18;26;45;43;1;"Samstag"
